Company Name,UID,Entity Name,Alias,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day,
Amazon.com Inc,EQT-A438AE,Amazon Web Services Inc,"Amazon Web Services Inc, AWS",Mar-2006,,,,https://en.wikipedia.org/wiki/Amazon_Web_Services,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=38026400,TRUE,2006,3,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Wholesale India Private Limited,"Amazon Wholesale India Private Limited, Amazon Wholesale (India) Private Limited",2013,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=321879979,TRUE,2013,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon.com.dedc LLC,Amazon.com.dedc LLC,2000,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=25997958,TRUE,2000,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,AmazonFresh,AmazonFresh,Mar-2017,,,,https://en.wikipedia.org/wiki/AmazonFresh,,TRUE,2017,3,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Audible Inc,"Audible Inc, Audible.com",Mar-2008,,,https://www.linkedin.com/company/audible-inc-/,https://en.wikipedia.org/wiki/Audible_(store),https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=212904,TRUE,2008,3,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Blink,"Blink, Blink Home, Immedia Semiconductor LLc",Dec-2017,,,https://www.linkedin.com/company/blink-home-security/,https://en.wikipedia.org/wiki/Blink_Home,,TRUE,2017,12,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Body Labs Inc,Body Labs Inc,04-Oct-17,,,,https://en.wikipedia.org/wiki/Body_Labs,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=261111896,FALSE,2017,10,4,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Brilliance Audio Inc,Brilliance Audio Inc,23-May-07,,,,,https://www.crunchbase.com/organization/brilliance-audio,FALSE,2007,5,23,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,CreateSpace,CreateSpace,11-Jul-05,,,,,https://www.crunchbase.com/organization/createspace#section-overview,FALSE,2005,7,11,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Fabric.com Inc,Fabric.com Inc,25-Jun-08,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=40021368,FALSE,2008,6,25,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Game Sparks Limited,"Game Sparks Limited, Game Sparks Ltd",08-Jul-17,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=267404135,FALSE,2017,7,8,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Goodreads Inc,Goodreads Inc,29-Mar-13,,,,,https://www.crunchbase.com/organization/goodreads,FALSE,2013,3,29,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Graphiq Inc,"Graphiq Inc, FindTheBest",20-Jul-17,,,https://www.linkedin.com/company/graphiq/,https://en.wikipedia.org/wiki/Graphiq,https://www.crunchbase.com/organization/graphiq,FALSE,2017,7,20,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Iconology Inc,"Iconology Inc, ComiXology",10-Apr-14,,,https://www.linkedin.com/company/comixology/,https://en.wikipedia.org/wiki/ComiXology,https://www.crunchbase.com/organization/comixology,FALSE,2014,4,10,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,IMDB,"IMDB, Internet Movie Database",27-Apr-98,,,,https://en.wikipedia.org/wiki/IMDb,https://www.crunchbase.com/organization/imdb,FALSE,1998,4,27,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Mobipocket SAS,Mobipocket SAS,2005,31-Oct-16,,,https://en.wikipedia.org/wiki/Mobipocket,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=729022,TRUE,2005,-,-,FALSE,2016,10,31,
